id,song_name,artist,song_popularity,decade,genre,points,created_at,updated_at
22,Yesterdays,Guns N' Roses,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
23,Heart Of Stone,Cher,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
24,Open Country,Gordon Giltrap,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
25,Amen,Edens Edge,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
26,To Be A Lover,Billy Idol,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
27,Monster,Imagine Dragons,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
28,Artificial Flowers,Bobby Darin,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
29,Rocking from Beginning to End (feat. Kenny Keys),Tall Black Guy,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
30,Nine Million Rainy Days,The Jesus and Mary Chain,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
31,The Sound Of Goodbye,Crystal Gayle,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
32,Three Flowers,McCoy Tyner,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
33,Could It Be I'm Falling In Love,The Spinners,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
34,Love That Got Away,Firefall,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
35,Classical Instrumental: Nadhaloludai - genre: Sax; Raga: Kalyanavasantham,Prasant Radhakrishnan,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
36,I'm Gonna Miss You,The Artistics,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
37,Political Song for Michael Jackson to Sing,Minutemen,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
38,Patterns,Ahmad Jamal Trio,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
39,Quero Me Casar Contigo - Versão remasterizada,Roberto Carlos,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
40,Particles,Joey Fehrenbach,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
41,C.I.D.,U.K. Subs,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
42,Wild Thing,The Troggs,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
43,Lizzie And The Rainman,Tanya Tucker,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
44,Too Hot For My Chinchilla,Tangerine Dream,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
45,Madness,Muse,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
46,Reverse Culture Music,Steve Hauschildt,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
47,I Got You Babe,UB40,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
48,"Pearly-Dewdrops' Drops (7"""" Version)",Cocteau Twins,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
49,When The Stars Go Blue,Tim McGraw,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
50,Fight Song,Rachel Platten,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
51,Cultura E Civilizacao,Gal Costa,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
52,Kitty,Elmer Bernstein,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
53,Santa Tell Me,Ariana Grande,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
54,Aires Choqueros - Instrumental,Paco de Lucía,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
55,teachme,Musiq Soulchild,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
56,Earth Beats,Michalis Koumbios,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
57,She's A River,Simple Minds,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
58,Mishale,Andru Donalds,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
59,L'éveil De L'acrobate,François Bréant,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
60,Another Postcard (Chimps),Barenaked Ladies,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
61,Not Fade Away,Sheryl Crow,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
62,Charcoal Baby,Blood Orange,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
63,Hardcore (So You Wanna Be),Statik Selektah,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
64,Little Boy Sad,Johnny Burnette,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
65,Stay The Night,IMx,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
66,Amay Bhasaili Re,Kumar Sanu,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
67,Heart Of Stone,The Rolling Stones,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
68,Driving at Night,Joe Satriani,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
69,Pigs in Zen,Jane's Addiction,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
70,Newton's Beat,Marc Mac,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
71,Same Ole Love (365 Days A Year),Anita Baker,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
72,Alone Again (Naturally),Gilbert O'Sullivan,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
73,More Love,Kim Carnes,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
74,Everybody,Keith Urban,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
75,Misty Blue,Dorothy Moore,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
76,The Creeper Returns,Little Sonny,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
77,Dear to the Heart,Nobuo Uematsu,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
78,Danzon,Eddie Lang,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
79,Cupid,112,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
80,Soy Así,José José,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
81,Can't Put A Price On Love,The Knack,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
82,O Toque da Concertina,Roberto Leal,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
83,Aquí,Allison,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
84,Brunnsparken,Björn Rosenström,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
85,It Amazes Me,John Denver,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
86,Don't Forget,Demi Lovato,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
87,Try Me,DeJ Loaf,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
88,Memory,Avantasia,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
89,(Sittin' On) The Dock Of The Bay,Michael Bolton,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
90,Power Is Power,"SZA, The Weeknd & Travis Scott",1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
91,Hocus Pocus,Helloween,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
92,Hold On My Heart,Genesis,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
93,(I'm Stuck In A Pagoda With) Tritia Toyota,The Dickies,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
94,Sydänvalkea - Folk Aesthetic Version,Tenhi,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
95,"Worry, Worry","Johnny """"Big Moose"""" Walker",0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
96,Ettam Pattu,Avial,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
97,Blues After Hours,Pinetop Perkins,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
98,Lay It Down,Ratt,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
99,He Sentido Amor - Corazón Tun Tun,Grupo Los Kiero de Edgar Zacary,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
100,Tum Itna Jo Muskura Rahe Ho,Jagjit Singh,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
101,Azucena Real,Aries Vigoth,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
102,Hey Man Nice Shot,Filter,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
103,Summer Rain,Carl Thomas,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
104,Into The Large Air,Nitzer Ebb,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
105,Crazy Town,Jason Aldean,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
106,Christmas Trap - Remix,Trap City,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
107,My Old Friend,Tim McGraw,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
108,Never Alone - Original Mix,Al Storm,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
109,Macaco De Cheiro,Marinês E Sua Gente,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
110,Cumbia India,Los Angeles Azules,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
111,Asia Minor,Kokomo,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
112,Versace On The Floor,Bruno Mars,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
113,Bad Boy,Miami Sound Machine,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
114,I'm Coming Home,The Spinners,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
115,Sunshine Love,Cecilio & Kapono,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
116,"Stop, Look And Listen",The Chiffons,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
117,Ain't It A Sad Thing,R. Dean Taylor,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
118,Ball and Chain - Live,Big Mama Thornton,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
119,Turquoise Hexagon Sun,Boards of Canada,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
120,Throw It In The Bag,Fabolous Featuring The-Dream,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
121,Come Together,Aerosmith,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
122,Too Drunk to Fuck,Frau Doktor,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
123,Juicy,Doja Cat & Tyga,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
124,Inside Out,Eve 6,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
125,Stay The Night,IMx,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
126,One Track Mind,The Knickerbockers,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
127,Waiting For That Day,George Michael,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
128,Tap Footer,Alan Hawkshaw,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
129,Early In The Morning,Vanity Fare,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
130,Critter,Angerfist,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
131,All Deez,Buku,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
132,It Rained A Mist,Mike Seeger,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
133,Dear Ann,George Baker Selection,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
134,No BS,Chris Brown,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
135,Llythyrau Tyddyn Y Gaseg,Bryn Fôn,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
136,Out Of The Question,Gilbert O'Sullivan,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
137,Rumba Theme,Julio Gutierrez,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
138,Loaded,Ricky Martin,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
139,Honky Cat,Elton John,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
140,Não Vou Ficar - Versão remasterizada,Roberto Carlos,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
141,Aap Agar In Dinon Yahan Hote,Jagjit Singh,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
142,The Only Difference Between Martyrdom And Suicide Is Press Coverage,Panic! At The Disco,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
143,10.000 Falls,Logical Terror,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
144,The Staunton Lick,Lemon Jelly,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
145,Don't Come Knockin',Fats Domino,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
146,Rockin' Robin,Michael Jackson,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
147,Forever Mine,The O'Jays,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
148,Action in Memphis,Johnny Pearson,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
149,Cherry-coloured Funk,Cocteau Twins,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
150,Silhouette,Didier Thibault,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
151,Sheena Is A Punk Rocker,The Ramones,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
152,Wreath of Barbs - Album Mix,:Wumpscut:,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
153,"Dear Lucid, Our Time Is Right Now",Evans Blue,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
154,Tú Eres La Razón - Electrocumbia Remake,Raymix,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
155,Bomba,Metal y Ca.,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
156,The Blues Come Around,Hank Williams,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
157,Mi Mundo,Luis Enrique,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
158,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
159,True Colors,Cyndi Lauper,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
160,The Right Thing To Do,Carly Simon,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
161,Ever The Same,Rob Thomas,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
162,Little Hammer,Pale Saints,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
163,My Mind Is Made Up,John P. Kee,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
164,The Girl Most Likely,Jeannie C. Riley,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
165,That's How Love Goes,Jermaine Jackson,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
166,Gúmaro Vásquez,Ramon Ayala Y Sus Bravos Del Norte,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
167,Tonight,Def Leppard,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
168,See See Rider,Eric Burdon & The Animals,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
169,Baby I Love You,Aretha Franklin,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
170,Runaway,NB Ridaz Featuring Angelina,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
171,Runaway,Silverstein,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
172,Give Ireland Back To The Irish,Wings,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
173,Beautiful Mess,Diamond Rio,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
174,The Fanatic,Felony,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
175,Dope For Guns,The Ruts,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
176,Emotion,Samantha Sang,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
177,Don't Take The Girl,Tim McGraw,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
178,She's Got You,Patsy Cline,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
179,On The Dark Side,John Cafferty & The Beaver Brown Band,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
180,Dance Tonight,Paul McCartney,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
181,Hearts Don't Think (They Feel),Natural Selection,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
182,Billy Barlow,Mike Seeger,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
183,Footstompin' Music,Grand Funk Railroad,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
184,"I Wanna Love You (From """"Class Act"""")",Jade,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
185,Despacito,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
186,Oh Love,Green Day,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
187,TUSK,Fleetwood Mac,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
188,Combat Metal,Fireforce,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
189,Mr. Mom,Lonestar,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
190,Wonderful Baby,Don McLean,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
191,I Don't Want To Wait,Paula Cole,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
192,L.O.V.E.,Ashlee Simpson,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
193,Sa ̃o Paulo no Shaking,Metá Metá,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
194,Dangerous Woman,Snooky Pryor,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
195,Necesito Una Compañera,Los Bukis,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
196,Flea Dance (computer sound),Deuter,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
197,Chosen Paradize - Whos You Daddy?,Chosen Few,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
198,Bongo Bop,Charlie Parker,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
199,Lean On Me,Club Nouveau,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
200,What a Shame,Crass,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
201,There's Gonna Be A Showdown,Archie Bell & The Drells,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
202,Sleepless,Flume,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
203,Rock Holy,Hiss Golden Messenger,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
204,Rock Back Billy,John Hiatt,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
205,Richland Woman Blues,Mississippi John Hurt,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
206,Familie Pingitzer - Remastered,Wolfgang Ambros,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
207,Eu Queria Ser,Casa Das Máquinas,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
208,Elisa's Theme,Alexandre Desplat,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
209,Commando,King Promise,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
210,"On nous cache tout, on nous dit rien",Jacques Dutronc,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
211,Subterranean Homesick Blues,Bob Dylan,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
212,Why Did You Leave Me,Dorothy Ashby,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
213,Bilongo,Eddie Palmieri,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
214,Ohio Is for Lovers,Hawthorne Heights,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
215,Point It Out,Smokey Robinson & The Miracles,1,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
216,Cross Fire!,The Orlons,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
217,Waiting For The End,Linkin Park,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
218,Whirly Girl,Oxo,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
219,Canzone della Libertà - Off Vocal Version,Ennio Morricone,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
220,I Pledge My Love,Peaches & Herb,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
221,Vietnam Blues,J.B. Lenoir,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
222,Are You Happy Now?,Michelle Branch,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
223,Lay Me Down,The Dirty Heads Featuring Rome,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
224,Post Apocolaspe Punk,Abney Park,0,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
225,Don't Take Away My Heaven,Aaron Neville,1,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
226,Ordinary Day,Vanessa Carlton,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
227,Te Robare,Nicky Jam X Ozuna,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
228,Texas Boogie,Dale Watson,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
229,Inventions,Piero Piccioni,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
230,Planet Metal,Emerald Sun,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
231,Take Me In Your Arms (Rock Me A Little While),Kim Weston,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
232,Colours,Sisters of Mercy,0,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
233,My Toot Toot,Jean Knight,1,80s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
234,Runnin' Outta Moonlight,Randy Houser,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
235,Hey You! Little Boo-Ga-Loo,Chubby Checker,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
236,Sick Of Being Lonely,Field Mob,1,00s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
237,The Mooche,Aksak Maboul,0,70s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
238,Barefoot Blue Jean Night,Jake Owen,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
239,Backroad Song,Granger Smith,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
240,The Happening,Herb Alpert & The Tijuana Brass,1,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
241,True Lies,Kenny Wayne Shepherd,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
242,Cripple Creek,Even As We Speak,0,90s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
243,Nètsanèt,Mulatu Astatke,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
244,Elly,Dj Spinna,0,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
245,Somethin' 'Bout A Truck,Kip Moore,1,10s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
246,Misirlou,Laurindo Almeida,0,60s,edm,0,2023-02-04 15:51:34,2023-02-04 15:51:34
